Year(YYYY),Month(MM),Day(DDD),Hour(HH),Minute(mm),Water_Temp(oC),Air_Temp(oC),Relative_Humidity(%),Atm_Pressure(mb),Wind_Speed(m/s),Solar_radiation(W/m^2),Back_Radiation(W/m^2),Sensible_Heat_Flux(W/m^2),Latent_Heat_Flux(W/m^2)
2017,8,20,0,50,30.7,28.3,80.393,1015,2.9409,1.1285,-54.229,-12.07,-100.54
2017,8,20,1,50,30.9,28.5,75.286,1014.9,4.1391,2.4826,-53.229,-16.383,-158.77
2017,8,20,2,50,30.8,28.6,67.524,1014.7,5.2283,3.8368,-52.229,-18.961,-235.49
2017,8,20,3,50,30.9,28.5,73.937,1015.1,4.5748,97.274,-47.288,-18.075,-181.03
2017,8,20,4,50,30.9,28.4,75.725,1015.3,4.3569,209.13,-41.559,-17.997,-167.09
2017,8,20,5,50,30.8,28.1,83.798,1015.8,4.4658,320.98,-35.83,-19.858,-137.56
2017,8,20,6,50,30.7,28.3,86.346,1016.4,4.1391,461.76,-39.042,-16.115,-108.73
2017,8,20,7,50,30.5,28.4,87.384,1016.9,3.4855,608.32,-44.042,-11.85,-81.934
2017,8,20,8,50,30.6,28.3,91.061,1017.4,3.7034,754.89,-49.042,-13.765,-77.389
2017,8,20,9,50,30.6,28.9,85.894,1017.4,3.3766,780.89,-50.917,-9.1204,-76.801
2017,8,20,10,50,30.9,29.3,84.926,1017.6,2.7231,782.79,-52.167,-7.1619,-66.814
2017,8,20,11,50,31.2,29.7,80.574,1017.4,2.832,784.68,-53.417,-6.9399,-82.343
2017,8,20,12,50,31.5,30.2,72.901,1017.1,3.5945,656.28,-53.677,-7.3552,-128.94
2017,8,20,13,50,31.6,30.4,68.287,1016.1,3.2677,501.83,-53.74,-6.2642,-135.74
2017,8,20,14,50,32.2,30.6,66.301,1015.8,3.5945,347.37,-53.802,-9.3594,-170.65
2017,8,20,15,50,32.3,30.6,67.509,1015.6,3.7034,232.74,-53.118,-10.246,-172.98
2017,8,20,16,50,32.1,30.6,66.702,1015.3,3.0498,126.07,-52.285,-7.5765,-144.44
2017,8,20,17,50,32.1,30.6,65.903,1015.9,2.7231,19.403,-51.451,-6.9355,-135
2017,8,20,18,50,31.8,30.5,66.682,1016.7,2.1785,1.1736,-51.556,-5.0156,-107.21
2017,8,20,19,50,31.7,30.4,66.261,1017.4,1.3071,0.63194,-51.847,-3.6421,-78.602
2017,8,20,20,50,31.6,30.4,66.662,1018,1.6338,0.090278,-52.139,-3.794,-86.424
2017,8,20,21,50,31.5,30.3,69.093,1017.8,1.7428,0,-51.719,-3.9283,-83.311
2017,8,20,22,50,31.4,30.1,72.017,1018,2.7231,0,-51.156,-5.8609,-105.31
2017,8,20,23,50,31.3,30.1,72.45,1018,2.7231,0,-50.594,-5.3612,-101.4
2017,8,21,0,50,31.2,29.9,73.726,1017.6,3.0498,1.0764,-50.483,-6.388,-107.6
2017,8,21,1,50,31,29.9,72.415,1017.4,2.5052,2.3681,-50.462,-4.5671,-91.991
2017,8,21,2,50,30.9,29.9,72.85,1017.5,4.1391,3.6597,-50.441,-6.2769,-133.93
2017,8,21,3,50,30.9,29.8,71.106,1017.7,0.87139,97.608,-49.604,-2.4364,-51.318
2017,8,21,4,50,31,29.8,71.534,1017.9,0.87139,210.09,-48.604,-2.6874,-51.993
2017,8,21,5,50,31.1,29.8,70.68,1018.3,1.8517,322.57,-47.604,-4.4481,-82.062
2017,8,21,6,50,31,29.1,85.408,1018.7,4.5748,453.83,-46.726,-13.705,-111.46
2017,8,21,7,50,31.1,29.4,79.585,1019,3.7034,588.85,-45.872,-10.035,-111.05
2017,8,21,8,50,31.3,29.3,82.943,1019.4,4.5748,723.87,-45.017,-14.583,-128.34
2017,8,21,9,50,31.4,29.4,81.98,1020.1,4.9015,736.6,-44.753,-15.667,-143.23
2017,8,21,10,50,31.5,29.6,81.039,1020,4.7926,724.87,-44.608,-14.487,-142.73
2017,8,21,11,50,31.7,29.7,78.686,1019.4,3.9212,713.14,-44.462,-12.686,-132.46
2017,8,21,12,50,31.7,29.9,74.168,1018.7,4.1391,600.96,-45.549,-11.962,-155.18
2017,8,21,13,50,31.7,30.2,70.753,1018.2,3.7034,468.69,-46.882,-8.8911,-148.12
2017,8,21,14,50,31.8,29.8,75.491,1018.4,6.2086,336.42,-48.215,-20.085,-230.26
2017,8,21,15,50,31.7,30,70.293,1018,6.3175,227.45,-49.531,-17.167,-257.63
2017,8,21,16,50,31.6,30.1,66.602,1018.7,5.7729,123.14,-50.844,-13.93,-254.56
2017,8,21,17,50,31.5,29.3,80.046,1018.7,7.08,18.823,-52.156,-24.265,-222.48
2017,8,21,18,50,31.4,28.4,67.484,1018.8,5.0105,1.0382,-52.271,-25.68,-257.12
2017,8,21,19,50,31.2,28.8,73.543,1019.3,3.0498,0.55903,-52.146,-12.618,-130.27
2017,8,21,20,50,31.1,29.2,74.947,1019.6,4.3569,0.079861,-52.021,-13.332,-156.43
2017,8,21,21,50,31.1,29,79.059,1019.4,4.0302,0,-51.687,-13.737,-132.34
2017,8,21,22,50,31,29.3,73.626,1019.3,4.0302,0,-51.313,-10.974,-145.62
2017,8,21,23,50,31,29.3,73.626,1018.7,5.1194,0,-50.938,-13.885,-183.38
2017,8,22,0,50,30.9,29.3,74.515,1017.7,4.6837,0.65972,-41.569,-11.831,-159.49
2017,8,22,1,50,30.8,29.4,67.682,1017.1,3.8123,1.4514,-30.403,-8.5021,-155.35
2017,8,22,2,50,30.7,29.3,68.074,1016.7,3.5945,2.2431,-19.236,-8.0569,-145.13
2017,8,22,3,50,30.7,29.3,68.074,1016.7,3.1588,51.472,-19.615,-7.2139,-130.24
2017,8,22,4,50,30.7,29.3,68.903,1017,2.1785,110.39,-22.302,-5.4112,-96.028
2017,8,22,5,50,30.7,29.2,70.571,1017.2,3.1588,169.31,-24.99,-7.747,-123.13
2017,8,22,6,50,30.7,29.5,71.052,1018,2.9409,297.42,-32,-5.7146,-108.85
